placeId;name;address;category;description;city;reviewsCount;totalScore;hotelStars;postalCode;imageUrl;url;location/lat;location/lng;phone;openingHours/0/day;openingHours/0/hours;openingHours/1/day;openingHours/1/hours;openingHours/2/day;openingHours/2/hours;openingHours/3/day;openingHours/3/hours;openingHours/4/day;openingHours/4/hours;openingHours/5/day;openingHours/5/hours;openingHours/6/day;openingHours/6/hours
ChIJ24XrMqCCeC4Ri4OTjjc-ouw;Hotel Tugu Malang;Jl. Tugu No.3, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;Hotel;Refined rooms & suites in a high-end hotel offering an outdoor pool, a bar & a spa.;Malang City;2511;4.7;5-star hotel;65119;http://media.staticontent.com/media/pictures/055cfd7b-01a3-4904-89d0-97cbd8a7a6ff;https://www.google.com/maps/search/?api=1&query=Hotel%20Tugu%20Malang&query_place_id=ChIJ24XrMqCCeC4Ri4OTjjc-ouw;-7.9772124;112.6331606;+62 341 363891;;;;;;;;;;;;;;
ChIJ18BOm4Yp1i0RlDxSGWtp3Yg;SO! Boutique Hostel;Jl. Mojopahit No.1G, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;Hostel;;Malang City;545;4.4;2-star hotel;65119;https://images.trvl-media.com/lodging/38000000/37170000/37163200/37163153/a676c500_z.jpg;https://www.google.com/maps/search/?api=1&query=SO!%20Boutique%20Hostel&query_place_id=ChIJ18BOm4Yp1i0RlDxSGWtp3Yg;-7.9796921;112.6312334;+62 341 3015179;;;;;;;;;;;;;;
ChIJLRRiKiEo1i0RBxT88o9wmoo;Hotel Aria Gajayana;Hotel Aria Gajayana, Mal Olympic Garden, Jl. Kawi, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;Hotel;Casual property offering airy quarters, plus a restaurant, an outdoor pool & breakfast.;Malang City;7203;4.6;4-star hotel;65119;https://images.trvl-media.com/lodging/11000000/10930000/10928300/10928243/4ff3570e_z.jpg;https://www.google.com/maps/search/?api=1&query=Hotel%20Aria%20Gajayana&query_place_id=ChIJLRRiKiEo1i0RBxT88o9wmoo;-7.977585;112.624006;+62 341 336262;;;;;;;;;;;;;;
ChIJQ2nFP4Mp1i0RQb4eFe_tJWo;Bobopod Alun-Alun, Malang;Jl. Merdeka Selatan No.5, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;Capsule hotel;Streamlined capsules with shared bathrooms in a relaxed hotel offering a workspace & a kitchenette.;Malang City;374;4.6;;65119;https://lh5.googleusercontent.com/p/AF1QipMbTaO1wM8DYYeZCdzXAZ7S2aKyDqCaG49wvXT5=w408-h306-k-no;https://www.google.com/maps/search/?api=1&query=Bobopod%20Alun-Alun%2C%20Malang&query_place_id=ChIJQ2nFP4Mp1i0RQb4eFe_tJWo;-7.9835318;112.6301217;+62 821-4250-2868;;;;;;;;;;;;;;
ChIJqbowzBgo1i0RhHVtEiKFeL0;Riche Heritage Hotel;Jl. Jenderal Basuki Rahmat No.01, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia;Hotel;Unassuming rooms in a low-key hotel offering a casual restaurant, a spa & a garden.;Malang City;1227;4.2;2-star hotel;65119;https://lh5.googleusercontent.com/p/AF1QipN2IhexymI74jMaoqNsc9S4Uo0Gdz3vQw8op2oG=w408-h261-k-no;https://www.google.com/maps/search/?api=1&query=Riche%20Heritage%20Hotel&query_place_id=ChIJqbowzBgo1i0RhHVtEiKFeL0;-7.9813684;112.630201;+62 896-1679-5100;;;;;;;;;;;;;;
ChIJs8kTQdkp1i0R-7JhAombGsE;Semeru Hostel Malang;Jl. Semeru No.64 a, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia;Hostel;;Malang City;224;4.8;;65112;https://lh5.googleusercontent.com/p/AF1QipO737Kg4A3IIrgGayU2PsmtSHvV-5BLS5mWD1da=w408-h272-k-no;https://www.google.com/maps/search/?api=1&query=Semeru%20Hostel%20Malang&query_place_id=ChIJs8kTQdkp1i0R-7JhAombGsE;-7.9730432;112.6241919;+62 819-4495-8936;;;;;;;;;;;;;;
ChIJqQj4PZ-CeC4R16V0srDnxHw;Ijen Suites Resort & Convention Malang;Jl. Ijen Nirwana Raya Blok A No.16, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia;Hotel;Unfussy rooms & suites in a laid-back hotel with a Cantonese eatery, a trendy bar & an outdoor pool.;Malang City;9707;4.6;4-star hotel;65116;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/50/2f/4f/ijen-suites-hotel-malang.jpg?w=2100&h=1400&s=1;https://www.google.com/maps/search/?api=1&query=Ijen%20Suites%20Resort%20%26%20Convention%20Malang&query_place_id=ChIJqQj4PZ-CeC4R16V0srDnxHw;-7.9810379;112.6156218;+62 341 3301000;;;;;;;;;;;;;;
ChIJ22Y_qRko1i0RwvliCWbWQBs;The Grand Palace Hotel;Jl. Ade Irma Suryani No.23, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia;Hotel;Upscale quarters in a polished hotel featuring a restaurant, a spa & a coffee shop with live music.;Malang City;1933;4.3;3-star hotel;65117;https://photos.hotelbeds.com/giata/original/33/339025/339025a_hb_a_001.jpg;https://www.google.com/maps/search/?api=1&query=The%20Grand%20Palace%20Hotel&query_place_id=ChIJ22Y_qRko1i0RwvliCWbWQBs;-7.985059;112.6292983;+62 341 332919;;;;;;;;;;;;;;
ChIJ0V1tGREo1i0RmyU7yqoTpIk;MADOR Malang Dorm Hostel;Jl. Laksamana Martadinata No.32, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65118, Indonesia;Hostel;Basic dorms & private rooms with shared bathrooms in a snug, relaxed hostel featuring free Wi-Fi.;Malang City;708;4.5;1-star hotel;65118;https://lh5.googleusercontent.com/p/AF1QipMdbqJ15crBoOTHfVrxFkNudUpWFbUFk95nJj-T=w408-h300-k-no;https://www.google.com/maps/search/?api=1&query=MADOR%20Malang%20Dorm%20Hostel&query_place_id=ChIJ0V1tGREo1i0RmyU7yqoTpIk;-7.9881738;112.6351839;+62 822-4559-7199;;;;;;;;;;;;;;
ChIJAYZhVzso1i0Rrb7_oprY3Ps;VK Pods Malang;Jl. Kahuripan No.22, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia;Hostel;;Malang City;32;4.2;;65111;https://lh5.googleusercontent.com/p/AF1QipOJFC6JrtOti5lNwwFQ6ORQsglv3aOENMemH3XC=w408-h862-k-no;https://www.google.com/maps/search/?api=1&query=VK%20Pods%20Malang&query_place_id=ChIJAYZhVzso1i0Rrb7_oprY3Ps;-7.9763194;112.6299828;+62 812-3456-8553;;;;;;;;;;;;;;
